unitid,insname,lat,long,endow1,endow2,enroll
486053,Bethlehem College & Seminary,44.96915,-93.255411,30000,31250,191
132602,Bethune-Cookman University,29.210193,-81.031429,53543296,54718740,3831
139153,Beulah Heights University,33.737022,-84.358086,,,701
443702,Bexley Hall Seabury Western Theological Seminary Federation  Inc.,41.98727,-87.845761,27603904,26153701,39
211130,Biblical Theological Seminary,40.281414,-75.303897,1754845,1813362,258
110097,Biola University,33.904823,-118.017342,113668417,119979622,6227
100937,Birmingham Southern College,33.515453,-86.853636,60785156,61011062,1346
442949,Birthingway College of Midwifery,45.476809,-122.538471,,,81
143288,Blackburn College,39.288298,-89.872248,15640918,15073486,585
143297,Blessing Rieman College of Nursing and Health Sciences,39.935896,-91.398548,,,261
183822,Bloomfield College,40.794218,-74.19593,12437675,13062407,1980
175430,Blue Mountain College,34.67209,-89.02924,13290269,13232193,483
231554,Bluefield College,37.245681,-81.244879,7063694,6935941,976
201371,Bluffton University,40.896998,-83.897678,23521163,23113645,1011
142090,Boise Bible College,43.657437,-116.290607,853749,826711,150
233356,Bon Secours Memorial College of Nursing,37.646876,-77.433191,,,500
189413,Boricua College,40.833434,-73.9458,536068,572120,995
164872,Boston Architectural College,42.34867,-71.085851,10710975,10541982,770
164614,Boston Baptist College,42.254037,-71.1103,,,85
164924,Boston College,42.337688,-71.171488,2105654033,2258601496,14354
164915,Boston Graduate School of Psychoanalysis Inc,42.339481,-71.133025,,,143
164988,Boston University,42.349581,-71.09984,1616004000,1644117000,32158
161004,Bowdoin College,43.906902,-69.965241,1216030000,1392760000,1799
143358,Bradley University,40.697605,-89.61462,279019580,277175310,5338
165015,Brandeis University,42.364947,-71.254716,861152377,915087056,5752
262086,Brandman University,33.655684,-117.768624,,,8004
139199,Brenau University,34.303117,-83.821513,38353646,38670897,2883
156356,Brescia University,37.768989,-87.111533,12242210,12522935,1060
198066,Brevard College,35.237657,-82.729763,23518890,24230180,729
139205,Brewton-Parker College,32.185718,-82.586136,13913077,7674723,616
152992,Briar Cliff University,42.526919,-96.42696,10949734,12568754,1149
231581,Bridgewater College,38.378391,-78.969011,83051300,82716905,1834
